,Command,Response
0,AMDT K0,AMDT 0 0.06952 98.65 296.35 0.35 0 0 0 0.06952 0.00185 24.567
1,AZMW K0,AZMW 0 0.06952 0 0 98.65 0.35 0.82693 296.35 0 300 98.802 97.9608 0 34.56 0.06952 14.18 0.00185 301.939 306.856 309.309 308.924 307.429 326.476 297.717 # # # # # # # # # #
2,AVAB K0 0,AVAB 0 0 0 0 0 0 0 0 0
3,AZAB K0,AZAB 0 0 0 0 0 0 0 0 0
4,ASTZ K0,ASTZ 0 SMAN STBY STBY STBY STBY STBY STBY STBY STBY STBY SCLN SCLN SCLN SCLN SBOF SWOF SPON SPON SOTT SMXX SAON SVXX
5,SREM K0,SREM 0
6,SBON K0,SBON 0
7,SBEV K0 0,SBEV 0
8,ENOR K0 293.15 101.325,ENOR 0
9,SOTT K0,SOTT 0
10,SLON K0,SLON 0
11,SDST K0 3,SDST 0
12,ACFV K0 3,ACFV 0 8.303378173
13,SPVS K0 3,SPVS 0
14,SBPF K0 1,SBPF 0
15,SBPS K0,SBPS 0
16,AVAB K0 1,AVAB 0 56.0228
17,AVAB K0 5,AVAB 0 56.0228
18,SBAN K0 1,SBAN 0
19,SANS K0,SANS 0
20,SBAN K0 5,SBAN 0
21,SBOF K0,SBOF 0
22,SMAN K0,SMAN 0
23,ERRR K0,???? 0
24,ASTF K0,ASTF 3
25,ATEM K0,ATEM 0 110 180 120 130
26,ADRU K0,ADRU 0 10 11 12 13 14 15